v4_mm	P_N	P_kN
5.806089668692500538e+01	3.728505810301506426e+04	3.728505810301506074e+01
5.892747723449104313e+01	3.784155150753767521e+04	3.784155150753767316e+01
5.979405778205708799e+01	3.839804491206028615e+04	3.839804491206028558e+01
6.066063832962313995e+01	3.895453831658290437e+04	3.895453831658290511e+01
6.152721887718918481e+01	3.951103172110551532e+04	3.951103172110551753e+01
6.239379942475522256e+01	4.006752512562812626e+04	4.006752512562812285e+01
6.326037997232126742e+01	4.062401853015073721e+04	4.062401853015073527e+01
6.412696051988731938e+01	4.118051193467335543e+04	4.118051193467335480e+01
6.499354106745336424e+01	4.173700533919596637e+04	4.173700533919596722e+01
6.586012161501940909e+01	4.229349874371857732e+04	4.229349874371857965e+01
6.672670216258543974e+01	4.284999214824118826e+04	4.284999214824118496e+01
6.759328271015149880e+01	4.340648555276380648e+04	4.340648555276380449e+01
6.845986325771754366e+01	4.396297895728641743e+04	4.396297895728641691e+01
6.932644380528357431e+01	4.451947236180902837e+04	4.451947236180902934e+01
7.019302435284963337e+01	4.507596576633164659e+04	4.507596576633164887e+01
7.105960490041567823e+01	4.563245917085425754e+04	4.563245917085425418e+01
7.192618544798172309e+01	4.618895257537686848e+04	4.618895257537686660e+01
7.279276599554775373e+01	4.674544597989947943e+04	4.674544597989947903e+01
7.365934654311381280e+01	4.730193938442209765e+04	4.730193938442209856e+01
7.452592709067985766e+01	4.785843278894470859e+04	4.785843278894471098e+01
7.539250763824590251e+01	4.841492619346731954e+04	4.841492619346731630e+01
7.625908818581193316e+01	4.897141959798993048e+04	4.897141959798992872e+01
7.712566873337799223e+01	4.952791300251254870e+04	4.952791300251254825e+01
7.799224928094403708e+01	5.008440640703515965e+04	5.008440640703516067e+01
7.885882982851006773e+01	5.064089981155777059e+04	5.064089981155777309e+01
7.972541037607611258e+01	5.119739321608038153e+04	5.119739321608037841e+01
8.059199092364217165e+01	5.175388662060299976e+04	5.175388662060299794e+01
8.145857147120821651e+01	5.231038002512561070e+04	5.231038002512561036e+01
8.232515201877424715e+01	5.286687342964822165e+04	5.286687342964822278e+01
8.319173256634030622e+01	5.342336683417083987e+04	5.342336683417084231e+01
8.405831311390635108e+01	5.397986023869345081e+04	5.397986023869344763e+01
8.492489366147239593e+01	5.453635364321606176e+04	5.453635364321606005e+01
8.579147420903842658e+01	5.509284704773867270e+04	5.509284704773867247e+01
8.665805475660448565e+01	5.564934045226129092e+04	5.564934045226129200e+01
8.752463530417053050e+01	5.620583385678390187e+04	5.620583385678390442e+01
